Mono path[0] = '/usr/local/games/Steam Games/steamapps/steamapps/common/Hollow Knight/hollow_knight_Data/Managed'
Mono config path = '/usr/local/games/Steam Games/steamapps/steamapps/common/Hollow Knight/hollow_knight_Data/MonoBleedingEdge/etc'
Preloaded 'libsteam_api.so'
Display 0 '0': 1920x1080 (primary device).
Desktop is 1920 x 1080 @ 60 Hz
[Vulkan init] extensions: count=20
[Vulkan init] extensions: name=VK_EXT_scalar_block_layout, enabled=0
[Vulkan init] extensions: name=VK_EXT_separate_stencil_usage, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_atomic_float, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_atomic_float2, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_demote_to_helper_invocation, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_image_atomic_int64, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_stencil_export, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_subgroup_ballot, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_subgroup_vote, enabled=0
[Vulkan init] extensions: name=VK_EXT_shader_viewport_index_layer, enabled=1
[Vulkan init] extensions: name=VK_EXT_subgroup_size_control, enabled=0
[Vulkan init] extensions: name=VK_EXT_texel_buffer_alignment, enabled=0
[Vulkan init] extensions: name=VK_EXT_transform_feedback, enabled=0
[Vulkan init] extensions: name=VK_EXT_vertex_attribute_divisor, enabled=0
[Vulkan init] extensions: name=VK_EXT_vertex_input_dynamic_state, enabled=0
[Vulkan init] extensions: name=VK_EXT_ycbcr_image_arrays, enabled=0
[Vulkan init] extensions: name=VK_AMD_buffer_marker, enabled=0
[Vulkan init] extensions: name=VK_AMD_device_coherent_memory, enabled=0
[Vulkan init] extensions: name=VK_AMD_draw_indirect_count, enabled=0
[Vulkan init] extensions: name=VK_AMD_gcn_shader, enabled=0
[Vulkan init] extensions: name=VK_AMD_gpu_shader_half_float, enabled=0
[Vulkan init] extensions: name=VK_AMD_gpu_shader_int16, enabled=0
[Vulkan init] extensions: name=VK_AMD_memory_overallocation_behavior, enabled=0
[Vulkan init] extensions: name=VK_AMD_mixed_attachment_samples, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_ballot, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_core_properties, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_core_properties2, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_explicit_vertex_parameter, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_fragment_mask, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_image_load_store_lod, enabled=0
[Vulkan init] extensions: name=VK_AMD_shader_trinary_minmax, enabled=0
[Vulkan init] extensions: name=VK_AMD_texture_gather_bias_lod, enabled=0
[Vulkan init] extensions: name=VK_GOOGLE_decorate_string, enabled=0
[Vulkan init] extensions: name=VK_GOOGLE_hlsl_functionality1, enabled=0
[Vulkan init] extensions: name=VK_GOOGLE_user_type, enabled=0
[Vulkan init] extensions: name=VK_NV_compute_shader_derivatives, enabled=0
[Vulkan init] extensions: name=VK_VALVE_mutable_descriptor_type, enabled=0
Fossilize INFO: Overriding serialization path: "/usr/local/games/Steam Games/steamapps/steamapps/shadercache/367520/fozpipelinesv6/steamapprun_pipeline_cache".
Vulkan API version 1.1.0 (1.3.211 supported by driver, 1.1.0 requested)
Vulkan vendor=[ATI] id=[1002]
Vulkan renderer=[AMD RADV RAVEN] id=[15d8]
Vulkan device type 1
Vulkan driverversion=[0x05801007] uint=[92278791]
Vulkan PSO: cache data not found [path=/tmp/Team Cherry/Hollow Knight/vulkan_pso_cache.bin]
Begin MonoManager ReloadAssembly
- Completed reload, in  0.132 seconds
OnLevelWasLoaded was found on GameMap
This message has been deprecated and will be removed in a later version of Unity.
Add a delegate to SceneManager.sceneLoaded instead to get notifications after scene loading has completed

OnLevelWasLoaded was found on PlayMakerUnity2d
This message has been deprecated and will be removed in a later version of Unity.
Add a delegate to SceneManager.sceneLoaded instead to get notifications after scene loading has completed

requesting resize 854 x 480
resizing window to 854 x 480
Desktop is 1920 x 1080 @ 60 Hz
InitializeOrResetSwapChain 854x480 hdr=0 samples=1
The class named 'ConfigManager' is abstract. The script class can't be abstract!

UnloadTime: 1.786901 ms
Graphics tier changed to High

Steam initializing

[S_API] SteamAPI_Init(): Loaded '/usr/local/games/Steam Games/steamapps/linux64/steamclient.so' OK.
Setting breakpad minidump AppID = 367520
SteamInternal_SetMinidumpSteamID:  Caching Steam ID:  76561198181762489 [API loaded no]
Steam logged in as Argoth

Selected online subsystem SteamOnlineSubsystem

Discovered supported languages: DE, EN, ES, FR, IT, JA, KO, PT, RU, ZH

Unloading 5 Unused Serialized files (Serialized files now loaded: 0)
Loaded saved language code 'EN'

Restored language code 'EN'


Unloading 362 unused Assets to reduce memory usage. Loaded Objects now: 3824.
Total: 2.221178 ms (FindLiveObjects: 0.228460 ms CreateObjectMapping: 0.094197 ms MarkObjects: 1.598386 ms  DeleteObjects: 0.299313 ms)

Steam stats received.

Unloading 5 Unused Serialized files (Serialized files now loaded: 0)
Didn't need to wait for PlayerPrefs load.

UnloadTime: 7.688111 ms
DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.

Performing automatic level start.

Game controller set to None.

pd.maxHealth: 8 pd.maxHealthBase: 8

pd.maxHealth: 5 pd.maxHealthBase: 5


Unloading 30 unused Assets to reduce memory usage. Loaded Objects now: 46209.
Total: 193.667099 ms (FindLiveObjects: 2.845853 ms CreateObjectMapping: 1.509289 ms MarkObjects: 189.037290 ms  DeleteObjects: 0.273916 ms)

requesting resize 1280 x 720
resizing window to 1280 x 720
Desktop is 1920 x 1080 @ 60 Hz
InitializeOrResetSwapChain 1280x720 hdr=0 samples=1
Save file 4 clearing...

Save file 4 cleared

Making UI menu lean.

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

Unloading 15 Unused Serialized files (Serialized files now loaded: 0)
AddEventHandlerComponent: PlayMakerFixedUpdate


Unloading 180 unused Assets to reduce memory usage. Loaded Objects now: 49508.
Total: 212.621901 ms (FindLiveObjects: 3.723053 ms CreateObjectMapping: 1.457121 ms MarkObjects: 206.248583 ms  DeleteObjects: 1.192203 ms)

PlayOneShot was called with a null AudioClip.

nailDamage: 21, multiplied: 52.5

Object Pool attached to GlobalPool has run out of Strike Nail R prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Slash Impact R prefabs, Instantiating an additional one.

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Run Effects prefabs, Instantiating an additional one.

Could not find FSM: health_manager_enemy

Object Pool attached to GlobalPool has run out of Run Effects prefabs, Instantiating an additional one.

AddEventHandlerComponent: PlayMakerFixedUpdate

Couldn't find current scene object!

Object Pool attached to GlobalPool could not find a copy of Audio Player NoDestroy, Instantiating a new one.

AddEventHandlerComponent: PlayMakerCollisionEnter2D

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerCollisionEnter2D

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

Unloading 36 Unused Serialized files (Serialized files now loaded: 0)
AddEventHandlerComponent: PlayMakerFixedUpdate


Unloading 332 unused Assets to reduce memory usage. Loaded Objects now: 57383.
Total: 263.360067 ms (FindLiveObjects: 3.671466 ms CreateObjectMapping: 2.887962 ms MarkObjects: 254.997919 ms  DeleteObjects: 1.801839 ms)

PlayOneShot was called with a null AudioClip.

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

AddEventHandlerComponent: PlayMakerFixedUpdate

Object Pool attached to GlobalPool has run out of Run Effects prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Couldn't find current scene object!

Object Pool attached to GlobalPool has run out of Audio Player NoDestroy prefabs, Instantiating an additional one.

PlayOneShot was called with a null AudioClip.

AddEventHandlerComponent: PlayMakerCollisionEnter2D

AddEventHandlerComponent: PlayMakerFixedUpdate

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of Shot HK Spurt prefabs, Instantiating an additional one.

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

Unloading 36 Unused Serialized files (Serialized files now loaded: 0)
AddEventHandlerComponent: PlayMakerFixedUpdate


Unloading 321 unused Assets to reduce memory usage. Loaded Objects now: 57947.
Total: 260.034232 ms (FindLiveObjects: 4.326859 ms CreateObjectMapping: 3.056469 ms MarkObjects: 251.074539 ms  DeleteObjects: 1.575574 ms)

PlayOneShot was called with a null AudioClip.

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

AddEventHandlerComponent: PlayMakerFixedUpdate

Deferring level start (marked as manual).

AddEventHandlerComponent: PlayMakerFixedUpdate

Could not find FSM: health_manager_enemy

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of particle_orange blood prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

Object Pool attached to GlobalPool has run out of HK Plume prefabs, Instantiating an additional one.

